number,name,position,age,nation,team,value,league
34,Jadon Sancho,Left Winger,23,England,Manchester United,55.00m,Premier League
35,Dejan Kulusevski,Right Winger,23,Sweden,Tottenham Hotspur,55.00m,Premier League
36,James Maddison,Attacking Midfield,26,England,Leicester City,55.00m,Premier League
37,Richarlison,Centre-Forward,25,Brazil,Tottenham Hotspur,55.00m,Premier League
38,Mois챕s Caicedo,Defensive Midfield,21,Ecuador,Brighton & Hove Albion,55.00m,Premier League
39,Juli찼n _lvarez,Centre-Forward,23,Argentina,Manchester City,50.00m,Premier League
40,Gabriel Magalh찾es,Centre-Back,25,Brazil,Arsenal FC,50.00m,Premier League
41,Casemiro,Defensive Midfield,31,Brazil,Manchester United,50.00m,Premier League
42,Ivan Toney,Centre-Forward,27,England,Brentford FC,50.00m,Premier League
43,Alexander Isak,Centre-Forward,23,Sweden,Newcastle United,50.00m,Premier League
44,Jo찾o F챕lix,Second Striker,23,Portugal,Chelsea FC,50.00m,Premier League
45,Ben White,Right-Back,25,England,Arsenal FC,50.00m,Premier League
46,Lisandro Mart챠nez,Centre-Back,25,Argentina,Manchester United,50.00m,Premier League
47,Andrew Robertson,Left-Back,29,Scotland,Liverpool FC,48.00m,Premier League
48,Fabinho,Defensive Midfield,29,Brazil,Liverpool FC,45.00m,Premier League
49,Pierre-Emile H철jbjerg,Central Midfield,27,Denmark,Tottenham Hotspur,45.00m,Premier League
50,Alisson,Goalkeeper,30,Brazil,Liverpool FC,45.00m,Premier League
1,Vinicius Junior,Left Winger,22,Brazil,Real Madrid,120.00m,LaLiga
2,Federico Valverde,Central Midfield,24,Uruguay,Real Madrid,100.00m,LaLiga
3,Pedri,Central Midfield,20,Spain,FC Barcelona,100.00m,LaLiga
4,Gavi,Central Midfield,18,Spain,FC Barcelona,90.00m,LaLiga
5,Aur챕lien Tchouam챕ni,Defensive Midfield,23,France,Real Madrid,90.00m,LaLiga
6,Rodrygo,Right Winger,22,Brazil,Real Madrid,80.00m,LaLiga
7,Ronald Ara첬jo,Centre-Back,24,Uruguay,FC Barcelona,70.00m,LaLiga
8,_der Milit찾o,Centre-Back,25,Brazil,Real Madrid,70.00m,LaLiga
9,Frenkie de Jong,Central Midfield,25,Netherlands,FC Barcelona,60.00m,LaLiga
10,Eduardo Camavinga,Central Midfield,20,France,Real Madrid,60.00m,LaLiga
11,Jules Kound챕,Centre-Back,24,France,FC Barcelona,60.00m,LaLiga
12,Thibaut Courtois,Goalkeeper,30,Belgium,Real Madrid,60.00m,LaLiga
13,Ousmane Demb챕l챕,Right Winger,25,France,FC Barcelona,60.00m,LaLiga
14,Mikel Merino,Central Midfield,26,Spain,Real Sociedad,50.00m,LaLiga
15,Mikel Oyarzabal,Left Winger,26,Spain,Real Sociedad,50.00m,LaLiga
16,Raphinha,Right Winger,26,Brazil,FC Barcelona,50.00m,LaLiga
17,David Alaba,Centre-Back,30,Austria,Real Madrid,50.00m,LaLiga
18,Pau Torres,Centre-Back,26,Spain,Villarreal CF,45.00m,LaLiga
19,Marc-Andr챕 ter Stegen,Goalkeeper,30,Germany,FC Barcelona,40.00m,LaLiga
20,Rodrigo de Paul,Central Midfield,28,Argentina,Atl챕tico de Madrid,40.00m,LaLiga
21,Robert Lewandowski,Centre-Forward,34,Poland,FC Barcelona,40.00m,LaLiga
22,Jan Oblak,Goalkeeper,30,Slovenia,Atl챕tico de Madrid,40.00m,LaLiga
23,Antonio R체diger,Centre-Back,30,Germany,Real Madrid,40.00m,LaLiga
24,Mart챠n Zubimendi,Defensive Midfield,24,Spain,Real Sociedad,40.00m,LaLiga
25,Y챕remy Pino,Right Winger,20,Spain,Villarreal CF,38.00m,LaLiga
26,Ansu Fati,Left Winger,20,Spain,FC Barcelona,35.00m,LaLiga
27,Jos챕 Gay_,Left-Back,27,Spain,Valencia CF,35.00m,LaLiga
28,Jos챕 Mar챠a Gim챕nez,Centre-Back,28,Uruguay,Atl챕tico de Madrid,35.00m,LaLiga
29,Robin Le Normand,Centre-Back,26,France,Real Sociedad,35.00m,LaLiga
30,_ngel Correa,Right Winger,28,Argentina,Atl챕tico de Madrid,35.00m,LaLiga
31,Karim Benzema,Centre-Forward,35,France,Real Madrid,35.00m,LaLiga
32,Ferland Mendy,Left-Back,27,France,Real Madrid,35.00m,LaLiga
33,Marcos Llorente,Central Midfield,28,Spain,Atl챕tico de Madrid,35.00m,LaLiga
34,Gabri Veiga,Attacking Midfield,20,Spain,Celta de Vigo,30.00m,LaLiga
35,Ferran Torres,Left Winger,23,Spain,FC Barcelona,30.00m,LaLiga
36,Alejandro Balde,Left-Back,19,Spain,FC Barcelona,30.00m,LaLiga
37,Andreas Christensen,Centre-Back,27,Denmark,FC Barcelona,30.00m,LaLiga
38,Gerard Moreno,Centre-Forward,31,Spain,Villarreal CF,30.00m,LaLiga
39,Oihan Sancet,Attacking Midfield,23,Spain,Athletic Bilbao,30.00m,LaLiga
40,Nabil Fekir,Attacking Midfield,29,France,Real Betis Balompi챕,30.00m,LaLiga
41,Brais M챕ndez,Attacking Midfield,26,Spain,Real Sociedad,30.00m,LaLiga
42,Guido Rodr챠guez,Defensive Midfield,29,Argentina,Real Betis Balompi챕,28.00m,LaLiga
43,Franck Kessi챕,Central Midfield,26,Cote d'Ivoire,FC Barcelona,28.00m,LaLiga
44,Giorgi Mamardashvili,Goalkeeper,22,Georgia,Valencia CF,25.00m,LaLiga
45,_lvaro Morata,Centre-Forward,30,Spain,Atl챕tico de Madrid,25.00m,LaLiga
46,Enes _nal,Centre-Forward,25,Turkey,Getafe CF,25.00m,LaLiga
47,Reinildo Mandava,Left-Back,29,Mozambique,Atl챕tico de Madrid,25.00m,LaLiga
48,Borja Iglesias,Centre-Forward,30,Spain,Real Betis Balompi챕,25.00m,LaLiga
49,Yannick Carrasco,Left Winger,29,Belgium,Atl챕tico de Madrid,25.00m,LaLiga
50,I챰aki Williams,Centre-Forward,28,Ghana,Athletic Bilbao,25.00m,LaLiga
1,Jude Bellingham,Central Midfield,19,England,Borussia Dortmund,120.00m,Bundesliga
2,Jamal Musiala,Attacking Midfield,20,Germany,Bayern Munich,110.00m,Bundesliga
3,Florian Wirtz,Attacking Midfield,19,Germany,Bayer 04 Leverkusen,85.00m,Bundesliga
4,Joshua Kimmich,Defensive Midfield,28,Germany,Bayern Munich,80.00m,Bundesliga
5,Christopher Nkunku,Second Striker,25,France,RB Leipzig,80.00m,Bundesliga
6,Matthijs de Ligt,Centre-Back,23,Netherlands,Bayern Munich,75.00m,Bundesliga
7,Josko Gvardiol,Centre-Back,21,Croatia,RB Leipzig,75.00m,Bundesliga
8,Alphonso Davies,Left-Back,22,Canada,Bayern Munich,70.00m,Bundesliga
9,Leroy San챕,Right Winger,27,Germany,Bayern Munich,70.00m,Bundesliga
10,Leon Goretzka,Central Midfield,28,Germany,Bayern Munich,65.00m,Bundesliga
11,Kingsley Coman,Left Winger,26,France,Bayern Munich,65.00m,Bundesliga
12,Randal Kolo Muani,Centre-Forward,24,France,Eintracht Frankfurt,65.00m,Bundesliga
13,Jo찾o Cancelo,Right-Back,28,Portugal,Bayern Munich,60.00m,Bundesliga
14,Dayot Upamecano,Centre-Back,24,France,Bayern Munich,60.00m,Bundesliga
15,Serge Gnabry,Right Winger,27,Germany,Bayern Munich,55.00m,Bundesliga
16,Lucas Hern찼ndez,Centre-Back,27,France,Bayern Munich,50.00m,Bundesliga
17,Moussa Diaby,Right Winger,23,France,Bayer 04 Leverkusen,50.00m,Bundesliga
18,Sadio Man챕,Left Winger,31,Senegal,Bayern Munich,45.00m,Bundesliga
19,Dani Olmo,Attacking Midfield,24,Spain,RB Leipzig,40.00m,Bundesliga
20,Nico Schlotterbeck,Centre-Back,23,Germany,Borussia Dortmund,40.00m,Bundesliga
21,Dominik Szoboszlai,Attacking Midfield,22,Hungary,RB Leipzig,40.00m,Bundesliga
22,Julian Brandt,Attacking Midfield,26,Germany,Borussia Dortmund,40.00m,Bundesliga
23,Karim Adeyemi,Left Winger,21,Germany,Borussia Dortmund,35.00m,Bundesliga
24,Niklas S체le,Centre-Back,27,Germany,Borussia Dortmund,35.00m,Bundesliga
25,Gregor Kobel,Goalkeeper,25,Switzerland,Borussia Dortmund,35.00m,Bundesliga
26,Benjamin Pavard,Right-Back,27,France,Bayern Munich,35.00m,Bundesliga
27,Jeremie Frimpong,Right-Back,22,Netherlands,Bayer 04 Leverkusen,35.00m,Bundesliga
28,Marcus Thuram,Centre-Forward,25,France,Borussia M철nchengladbach,32.00m,Bundesliga
29,Evan Ndicka,Centre-Back,23,France,Eintracht Frankfurt,32.00m,Bundesliga
30,Ryan Gravenberch,Central Midfield,20,Netherlands,Bayern Munich,30.00m,Bundesliga
31,Manu Kon챕,Central Midfield,21,France,Borussia M철nchengladbach,30.00m,Bundesliga
32,Edmond Tapsoba,Centre-Back,24,Burkina Faso,Bayer 04 Leverkusen,30.00m,Bundesliga
33,Daichi Kamada,Attacking Midfield,26,Japan,Eintracht Frankfurt,30.00m,Bundesliga
34,S챕bastien Haller,Centre-Forward,28,Cote d'Ivoire,Borussia Dortmund,30.00m,Bundesliga
35,Youssoufa Moukoko,Centre-Forward,18,Germany,Borussia Dortmund,30.00m,Bundesliga
36,Patrik Schick,Centre-Forward,27,Czech Republic,Bayer 04 Leverkusen,30.00m,Bundesliga
37,Mohamed Simakan,Centre-Back,22,France,RB Leipzig,28.00m,Bundesliga
38,Giovanni Reyna,Attacking Midfield,20,United States,Borussia Dortmund,28.00m,Bundesliga
39,Noussair Mazraoui,Right-Back,25,Morocco,Bayern Munich,28.00m,Bundesliga
40,Konrad Laimer,Central Midfield,25,Austria,RB Leipzig,28.00m,Bundesliga
41,Jesper Lindstr철m,Attacking Midfield,23,Denmark,Eintracht Frankfurt,28.00m,Bundesliga
42,Timo Werner,Centre-Forward,27,Germany,RB Leipzig,25.00m,Bundesliga
43,Piero Hincapi챕,Centre-Back,21,Ecuador,Bayer 04 Leverkusen,25.00m,Bundesliga
44,Djibril Sow,Central Midfield,26,Switzerland,Eintracht Frankfurt,22.00m,Bundesliga
45,Xaver Schlager,Central Midfield,25,Austria,RB Leipzig,22.00m,Bundesliga
46,Mathys Tel,Centre-Forward,18,France,Bayern Munich,20.00m,Bundesliga
47,Matthias Ginter,Centre-Back,29,Germany,SC Freiburg,20.00m,Bundesliga
48,Andr챕 Silva,Centre-Forward,27,Portugal,RB Leipzig,20.00m,Bundesliga
49,Jonathan Tah,Centre-Back,27,Germany,Bayer 04 Leverkusen,20.00m,Bundesliga
50,David Raum,Left-Back,25,Germany,RB Leipzig,20.00m,Bundesliga
1,Victor Osimhen,Centre-Forward,24,Nigeria,SSC Napoli,100.00m,Seria A
2,Khvicha Kvaratskhelia,Left Winger,22,Georgia,SSC Napoli,85.00m,Seria A
3,Lautaro Mart챠nez,Centre-Forward,25,Argentina,Inter Milan,80.00m,Seria A
4,Rafael Le찾o,Left Winger,23,Portugal,AC Milan,80.00m,Seria A
5,Dusan Vlahovic,Centre-Forward,23,Serbia,Juventus FC,75.00m,Seria A
6,Nicol챵 Barella,Central Midfield,26,Italy,Inter Milan,70.00m,Seria A
7,Sergej Milinkovi_-Savi_,Central Midfield,28,Serbia,SS Lazio,60.00m,Seria A
8,Milan Skriniar,Centre-Back,28,Slovakia,Inter Milan,60.00m,Seria A
9,Theo Hern찼ndez,Left-Back,25,France,AC Milan,60.00m,Seria A
10,Alessandro Bastoni,Centre-Back,24,Italy,Inter Milan,55.00m,Seria A
11,Federico Chiesa,Left Winger,25,Italy,Juventus FC,50.00m,Seria A
12,Min-jae Kim,Centre-Back,26,"Korea, South",SSC Napoli,50.00m,Seria A
13,Sandro Tonali,Defensive Midfield,22,Italy,AC Milan,50.00m,Seria A
14,Fikayo Tomori,Centre-Back,25,England,AC Milan,45.00m,Seria A
15,Tammy Abraham,Centre-Forward,25,England,AS Roma,45.00m,Seria A
16,Romelu Lukaku,Centre-Forward,29,Belgium,Inter Milan,40.00m,Seria A
17,Bremer,Centre-Back,26,Brazil,Juventus FC,40.00m,Seria A
18,Isma챘l Bennacer,Defensive Midfield,25,Algeria,AC Milan,40.00m,Seria A
19,Piotr Zielinski,Central Midfield,28,Poland,SSC Napoli,40.00m,Seria A
20,Frank Anguissa,Central Midfield,27,Cameroon,SSC Napoli,40.00m,Seria A
21,Stanislav Lobotka,Defensive Midfield,28,Slovakia,SSC Napoli,38.00m,Seria A
22,Lorenzo Pellegrini,Attacking Midfield,26,Italy,AS Roma,35.00m,Seria A
23,Mike Maignan,Goalkeeper,27,France,AC Milan,35.00m,Seria A
24,Rasmus H첩jlund,Centre-Forward,20,Denmark,Atalanta BC,35.00m,Seria A
25,Hakan Calhanoglu,Central Midfield,29,Turkey,Inter Milan,35.00m,Seria A
26,Pierre Kalulu,Centre-Back,22,France,AC Milan,35.00m,Seria A
27,Giacomo Raspadori,Second Striker,23,Italy,SSC Napoli,35.00m,Seria A
28,Giorgio Scalvini,Centre-Back,19,Italy,Atalanta BC,30.00m,Seria A
29,Roger Iba챰ez,Centre-Back,24,Brazil,AS Roma,30.00m,Seria A
30,Teun Koopmeiners,Defensive Midfield,25,Netherlands,Atalanta BC,30.00m,Seria A
31,Manuel Locatelli,Defensive Midfield,25,Italy,Juventus FC,30.00m,Seria A
32,Paulo Dybala,Second Striker,29,Argentina,AS Roma,30.00m,Seria A
33,Ademola Lookman,Second Striker,25,Nigeria,Atalanta BC,30.00m,Seria A
34,Adrien Rabiot,Central Midfield,28,France,Juventus FC,30.00m,Seria A
35,Denzel Dumfries,Right Midfield,27,Netherlands,Inter Milan,28.00m,Seria A
36,Nicol찼s Gonz찼lez,Left Winger,25,Argentina,ACF Fiorentina,28.00m,Seria A
37,Marcelo Brozovic,Defensive Midfield,30,Croatia,Inter Milan,28.00m,Seria A
38,Hirving Lozano,Right Winger,27,Mexico,SSC Napoli,28.00m,Seria A
39,Charles De Ketelaere,Attacking Midfield,22,Belgium,AC Milan,27.00m,Seria A
40,Eljif Elmas,Central Midfield,23,North Macedonia,SSC Napoli,26.00m,Seria A
41,Federico Dimarco,Left-Back,25,Italy,Inter Milan,25.00m,Seria A
42,Mattia Zaccagni,Left Winger,27,Italy,SS Lazio,25.00m,Seria A
43,Mario Pasalic,Attacking Midfield,28,Croatia,Atalanta BC,25.00m,Seria A
44,Sofyan Amrabat,Defensive Midfield,26,Morocco,ACF Fiorentina,25.00m,Seria A
45,Tanguy Ndomb챕l챕,Central Midfield,26,France,SSC Napoli,25.00m,Seria A
46,Amir Rrahmani,Centre-Back,29,Kosovo,SSC Napoli,25.00m,Seria A
47,Giovanni Di Lorenzo,Right-Back,29,Italy,SSC Napoli,25.00m,Seria A
48,Merih Demiral,Centre-Back,25,Turkey,Atalanta BC,25.00m,Seria A
49,Filip Kosti_,Left Midfield,30,Serbia,Juventus FC,24.00m,Seria A
50,Destiny Udogie,Left-Back,20,Italy,Udinese Calcio,22.00m,Seria A
1,Kylian Mbapp챕,Centre-Forward,24,France,Paris Saint-Germain,180.00m,Ligue1
2,Achraf Hakimi,Right-Back,24,Morocco,Paris Saint-Germain,70.00m,Ligue1
3,Marquinhos,Centre-Back,28,Brazil,Paris Saint-Germain,70.00m,Ligue1
4,Neymar,Left Winger,31,Brazil,Paris Saint-Germain,70.00m,Ligue1
5,Nuno Mendes,Left-Back,20,Portugal,Paris Saint-Germain,65.00m,Ligue1
6,Jonathan David,Centre-Forward,23,Canada,LOSC Lille,60.00m,Ligue1
7,Marco Verratti,Central Midfield,30,Italy,Paris Saint-Germain,50.00m,Ligue1
8,Gianluigi Donnarumma,Goalkeeper,24,Italy,Paris Saint-Germain,50.00m,Ligue1
9,Lionel Messi,Right Winger,35,Argentina,Paris Saint-Germain,45.00m,Ligue1
10,Vitinha,Central Midfield,23,Portugal,Paris Saint-Germain,42.00m,Ligue1
11,Fabi찼n Ruiz,Central Midfield,27,Spain,Paris Saint-Germain,38.00m,Ligue1
12,Presnel Kimpembe,Centre-Back,27,France,Paris Saint-Germain,35.00m,Ligue1
13,Amine Gouiri,Centre-Forward,23,France,Stade Rennais FC,35.00m,Ligue1
14,Martin Terrier,Left Winger,26,France,Stade Rennais FC,35.00m,Ligue1
15,Kh챕phren Thuram,Defensive Midfield,22,France,OGC Nice,32.00m,Ligue1
16,Seko Fofana,Central Midfield,27,Cote d'Ivoire,RC Lens,30.00m,Ligue1
17,Jean-Clair Todibo,Centre-Back,23,France,OGC Nice,30.00m,Ligue1
18,Carlos Soler,Central Midfield,26,Spain,Paris Saint-Germain,30.00m,Ligue1
19,Mohamed Camara,Defensive Midfield,23,Mali,AS Monaco,28.00m,Ligue1
20,Rayan Cherki,Attacking Midfield,19,France,Olympique Lyon,27.00m,Ligue1
21,Axel Disasi,Centre-Back,25,France,AS Monaco,25.00m,Ligue1
22,Elye Wahi,Centre-Forward,20,France,Montpellier HSC,25.00m,Ligue1
23,Youssouf Fofana,Central Midfield,24,France,AS Monaco,25.00m,Ligue1
24,Folarin Balogun,Centre-Forward,21,England,Stade Reims,25.00m,Ligue1
25,Malo Gusto,Right-Back,19,France,Olympique Lyon,25.00m,Ligue1
26,Aleksandr Golovin,Attacking Midfield,26,Russia,AS Monaco,25.00m,Ligue1
27,Matt챕o Guendouzi,Central Midfield,24,France,Olympique Marseille,25.00m,Ligue1
28,Maxence Caqueret,Central Midfield,23,France,Olympique Lyon,25.00m,Ligue1
29,Arnaud Kalimuendo,Centre-Forward,21,France,Stade Rennais FC,25.00m,Ligue1
30,Hugo Ekitik챕,Centre-Forward,20,France,Paris Saint-Germain,25.00m,Ligue1
31,Vitinha,Centre-Forward,23,Portugal,Olympique Marseille,22.00m,Ligue1
32,Breel Embolo,Centre-Forward,26,Switzerland,AS Monaco,22.00m,Ligue1
33,Nicolas P챕p챕,Right Winger,27,Cote d'Ivoire,OGC Nice,22.00m,Ligue1
34,Renato Sanches,Central Midfield,25,Portugal,Paris Saint-Germain,20.00m,Ligue1
35,Lo챦s Openda,Centre-Forward,23,Belgium,RC Lens,20.00m,Ligue1
36,Wissam Ben Yedder,Centre-Forward,32,France,AS Monaco,20.00m,Ligue1
37,Chancel Mbemba,Centre-Back,28,DR Congo,Olympique Marseille,20.00m,Ligue1
38,Caio Henrique,Left-Back,25,Brazil,AS Monaco,20.00m,Ligue1
39,Arthur Theate,Centre-Back,22,Belgium,Stade Rennais FC,20.00m,Ligue1
40,Castello Lukeba,Centre-Back,20,France,Olympique Lyon,20.00m,Ligue1
41,Lovro Majer,Attacking Midfield,25,Croatia,Stade Rennais FC,20.00m,Ligue1
42,Terem Moffi,Centre-Forward,23,Nigeria,OGC Nice,20.00m,Ligue1
43,Nordi Mukiele,Right-Back,25,France,Paris Saint-Germain,20.00m,Ligue1
44,Jonathan Bamba,Left Winger,27,Cote d'Ivoire,LOSC Lille,20.00m,Ligue1
45,Alban Lafont,Goalkeeper,24,France,FC Nantes,20.00m,Ligue1
46,Vanderson,Right-Back,21,Brazil,AS Monaco,18.00m,Ligue1
47,Valentin Rongier,Central Midfield,28,France,Olympique Marseille,18.00m,Ligue1
48,J챕r챕my Doku,Right Winger,20,Belgium,Stade Rennais FC,18.00m,Ligue1
49,Eliesse Ben Seghir,Attacking Midfield,18,France,AS Monaco,18.00m,Ligue1
50,Sofiane Diop,Left Winger,22,France,OGC Nice,18.00m,Ligue1
1,Ui-jo Hwang,Centre-Forward,30,"Korea, South",FC Seoul,5.00m,Kleague1
2,Gue-sung Cho,Centre-Forward,25,"Korea, South",Jeonbuk Hyundai Motors,2.50m,Kleague1
3,Darijan Bojanic,Central Midfield,28,Sweden,Ulsan Hyundai,2.00m,Kleague1
4,Valeri Qazaishvili,Left Winger,30,Georgia,Ulsan Hyundai,1.50m,Kleague1
5,Gustav Ludwigson,Right Winger,29,Sweden,Ulsan Hyundai,1.50m,Kleague1
6,Stanislav Iljutcenko,Centre-Forward,32,Russia,FC Seoul,1.30m,Kleague1
7,Hyeon-woo Jo,Goalkeeper,31,"Korea, South",Ulsan Hyundai,1.30m,Kleague1
8,Andr챕 Luis,Right Winger,26,Brazil,Jeonbuk Hyundai Motors,1.20m,Kleague1
9,Gustavo,Centre-Forward,29,Brazil,Jeonbuk Hyundai Motors,1.20m,Kleague1
10,Paul-Jos챕 Mpoku,Attacking Midfield,31,DR Congo,Incheon United,1.20m,Kleague1
11,Min-kyu Song,Left Winger,23,"Korea, South",Jeonbuk Hyundai Motors,1.20m,Kleague1
12,Won-sang Um,Right Winger,24,"Korea, South",Ulsan Hyundai,1.10m,Kleague1
13,Ataru Esaka,Attacking Midfield,30,Japan,Ulsan Hyundai,1.10m,Kleague1
14,Seung-ho Paik,Central Midfield,26,"Korea, South",Jeonbuk Hyundai Motors,1.00m,Kleague1
15,Yong-woo Park,Defensive Midfield,29,"Korea, South",Ulsan Hyundai,1.00m,Kleague1
16,Martin _d찼m,Centre-Forward,28,Hungary,Ulsan Hyundai,1.00m,Kleague1
17,Young-woo Seol,Right-Back,24,"Korea, South",Ulsan Hyundai,1.00m,Kleague1
18,Cesinha,Attacking Midfield,33,Brazil,Daegu FC,1.00m,Kleague1
19,Jeong-ho Hong,Centre-Back,33,"Korea, South",Jeonbuk Hyundai Motors,1.00m,Kleague1
20,Moon-hwan Kim,Right-Back,27,"Korea, South",Jeonbuk Hyundai Motors,950k,Kleague1
21,Seung-hyun Jung,Centre-Back,29,"Korea, South",Ulsan Hyundai,950k,Kleague1
22,Young-jun Choi,Defensive Midfield,31,"Korea, South",Jeju United,900k,Kleague1
23,Sang-ho Na,Left Winger,26,"Korea, South",FC Seoul,900k,Kleague1
24,Dae-won Kim,Left Winger,26,"Korea, South",Gangwon FC,900k,Kleague1
25,Tae-hwan Kim,Right-Back,33,"Korea, South",Ulsan Hyundai,900k,Kleague1
26,Dave Bulthuis,Centre-Back,32,Netherlands,Suwon Samsung Bluewings,900k,Kleague1
27,Min-kyu Joo,Centre-Forward,33,"Korea, South",Ulsan Hyundai,900k,Kleague1
28,Seung-beom Ko,Central Midfield,29,"Korea, South",Suwon Samsung Bluewings,875k,Kleague1
29,Kyo-won Han,Right Winger,32,"Korea, South",Jeonbuk Hyundai Motors,850k,Kleague1
30,Bit-garam Yoon,Central Midfield,32,"Korea, South",Suwon FC,850k,Kleague1
31,Aleksandar Palocevic,Attacking Midfield,29,Serbia,FC Seoul,850k,Kleague1
32,Kook-young Han,Defensive Midfield,33,"Korea, South",Gangwon FC,850k,Kleague1
33,Jun Amano,Attacking Midfield,31,Japan,Jeonbuk Hyundai Motors,800k,Kleague1
34,Jonathan Ring,Right Winger,31,Sweden,Jeju United,800k,Kleague1
35,Tae-wook Jeong,Centre-Back,25,"Korea, South",Jeonbuk Hyundai Motors,800k,Kleague1
36,Il-lok Yun,Left Winger,31,"Korea, South",Ulsan Hyundai,775k,Kleague1
37,Gerso,Left Winger,32,Guinea-Bissau,Incheon United,775k,Kleague1
38,Jin-hyuk Kim,Centre-Back,29,"Korea, South",Daegu FC,775k,Kleague1
39,Bo-kyung Kim,Attacking Midfield,33,"Korea, South",Suwon Samsung Bluewings,750k,Kleague1
40,Jae-hyun Go,Attacking Midfield,24,"Korea, South",Daegu FC,750k,Kleague1
41,Lars Veldwijk,Centre-Forward,31,South Africa,Suwon FC,750k,Kleague1
42,Gyu-sung Lee,Attacking Midfield,28,"Korea, South",Ulsan Hyundai,750k,Kleague1
43,Sung-yueng Ki,Defensive Midfield,34,"Korea, South",FC Seoul,750k,Kleague1
44,Osmar,Centre-Back,34,Spain,FC Seoul,750k,Kleague1
45,Chang-min Lee,Central Midfield,29,"Korea, South",Jeju United,725k,Kleague1
46,Jin-ho Shin,Attacking Midfield,34,"Korea, South",Incheon United,725k,Kleague1
47,Yu-min Cho,Centre-Back,26,"Korea, South",Daejeon Hana Citizen,725k,Kleague1
48,Geon-ung Kim,Defensive Midfield,25,"Korea, South",Jeonbuk Hyundai Motors,700k,Kleague1
49,Fejsal Mulic,Centre-Forward,28,Serbia,Suwon Samsung Bluewings,700k,Kleague1
50,Byong-jun An,Centre-Forward,32,"Korea, North",Suwon Samsung Bluewings,700k,Kleague1
